variables="time (s)","Alt (m)","Vel (m/s)"           ,"Patm (N/m2)","Rho atm (kg/m3)","gamma (deg)","                  decel (g)","Q conv (W/cm2)","Qrad (W/cm2)","Qtotal (
zone T="BC=****** V= 5000.00 Gamma=50.00 LoD=2.30 Bnk= 0.00 rnose=3.000"
     59.00   132411.7    4801.92    6.82890E-01    5.34835E-06    50.042       -0.21           2.57           0.00         825.96    278503.21        61.66
     60.00   133473.4    4799.82    6.41796E-01    4.99919E-06    50.043       -0.21           2.49           0.00         828.49    283184.57        57.59
     61.00   134529.2    4797.73    6.03588E-01    4.67630E-06    50.044       -0.21           2.40           0.00         830.93    287865.12        53.82
     62.00   135578.9    4795.65    5.68038E-01    4.37748E-06    50.045       -0.21           2.32           0.00         833.29    292544.90        50.34
     63.00   136622.6    4793.59    5.34939E-01    4.10073E-06    50.047       -0.21           2.24           0.00         835.57    297223.89        47.11
     64.00   137660.3    4791.54    5.04099E-01    3.84422E-06    50.048       -0.21           2.17           0.00         837.78    301902.10        44.13
     65.00   138692.0    4789.50    4.75346E-01    3.60631E-06    50.049       -0.21           2.10           0.00         839.91    306579.55        41.36
     66.00   139717.7    4787.48    4.48520E-01    3.38547E-06    50.050       -0.21           2.03           0.00         841.97    311256.24        38.80
     67.00   140737.3    4785.47    4.23475E-01    3.18035E-06    50.051       -0.20           1.97           0.00         843.97    315932.17        36.42
     68.00   141751.0    4783.47    4.00079E-01    2.98968E-06    50.053       -0.20           1.90           0.00         845.91    320607.34        34.20
     69.00   142758.7    4781.48    3.78208E-01    2.81233E-06    50.054       -0.20           1.84           0.00         847.78    325281.77        32.15
     70.00   143760.3    4779.50    3.57751E-01    2.64725E-06    50.055       -0.20           1.79           0.00         849.59    329955.46        30.24
     71.00   144756.0    4777.54    3.38604E-01    2.49350E-06    50.056       -0.20           1.73           0.00         851.35    334628.42        28.46
     72.00   145745.6    4775.59    3.20672E-01    2.35019E-06    50.057       -0.20           1.68           0.00         853.06    339300.65        26.80
     73.00   146729.2    4773.65    3.03868E-01    2.21653E-06    50.059       -0.20           1.63           0.00         854.71    343972.15        25.25
     74.00   147706.8    4771.72    2.88111E-01    2.09179E-06    50.060       -0.20           1.58           0.00         856.31    348642.94        23.81
     75.00   148678.5    4769.81    2.73328E-01    1.97530E-06    50.061       -0.19           1.53           0.00         857.87    353313.01        22.47
     76.00   149644.1    4767.90    2.59450E-01    1.86645E-06    50.062       -0.19           1.49           0.00         859.38    357982.37        21.21
     77.00   150603.7    4766.01    2.46415E-01    1.76467E-06    50.063       -0.19           1.45           0.00         860.85    362651.03        20.04
     78.00   151557.2    4764.13    2.34164E-01    1.66944E-06    50.065       -0.19           1.40           0.00         862.27    367318.99        18.95
     79.00   152504.8    4762.27    2.22643E-01    1.58029E-06    50.066       -0.19           1.37           0.00         863.66    371986.26        17.92
     80.00   153446.4    4760.41    2.11804E-01    1.49678E-06    50.067       -0.19           1.33           0.00         865.01    376652.84        16.96
     81.00   154382.0    4758.57    2.01600E-01    1.41851E-06    50.068       -0.19           1.29           0.00         866.31    381318.73        16.06
     82.00   155311.6    4756.73    1.91989E-01    1.34510E-06    50.069       -0.19           1.26           0.00         867.59    385983.95        15.22
     83.00   156235.1    4754.92    1.82931E-01    1.27621E-06    50.071       -0.18           1.22           0.00         868.82    390648.49        14.43
     84.00   157152.7    4753.11    1.74391E-01    1.21154E-06    50.072       -0.18           1.19           0.00         870.03    395312.37        13.69
     85.00   158064.3    4751.31    1.66335E-01    1.15078E-06    50.073       -0.18           1.16           0.00         871.20    399975.58        12.99
     86.00   158969.8    4749.53    1.58730E-01    1.09366E-06    50.074       -0.18           1.13           0.00         872.34    404638.13        12.34
     87.00   159869.4    4747.76    1.51550E-01    1.03995E-06    50.076       -0.18           1.10           0.00         873.46    409300.03        11.72
     88.00   160763.0    4746.00    1.44765E-01    9.89408E-07    50.077       -0.18           1.07           0.00         874.54    413961.27        11.14
     89.00   161650.5    4744.25    1.38352E-01    9.41822E-07    50.078       -0.18           1.04           0.00         875.59    418621.87        10.60
     90.00   162532.1    4742.51    1.32287E-01    8.96997E-07    50.079       -0.18           1.02           0.00         876.62    423281.83        10.09
     91.00   163407.7    4740.79    1.26548E-01    8.54751E-07    50.080       -0.18           0.99           0.00         877.63    427941.16         9.61
     92.00   164277.2    4739.07    1.21116E-01    8.14914E-07    50.082       -0.17           0.97           0.00         878.60    432599.85         9.15
     93.00   165140.8    4737.37    1.15971E-01    7.77330E-07    50.083       -0.17           0.94           0.00         879.56    437257.92         8.72
     94.00   165998.4    4735.68    1.11097E-01    7.41854E-07    50.084       -0.17           0.92           0.00         880.49    441915.36         8.32
     95.00   166850.0    4734.00    1.06476E-01    7.08352E-07    50.085       -0.17           0.90           0.00         881.40    446572.19         7.94
